uniprot	log2fc	pvalue	adj_p	gene_name	fraction	description	significant
A0A1P8AXC1	-1.0	0.004165713	0.018513616	VAR2	MEM	FtsH extracellular protease family OS=Arabidopsis thaliana OX=3702 GN=VAR2 PE=1 SV=1	True
A0A1P8AXC4	-3.36	4.63169e-06	0.002757313	JAL23	MEM	Jacalin-related lectin 23 OS=Arabidopsis thaliana OX=3702 GN=JAL23 PE=1 SV=1	True
A0A1P8AXD8	-0.42	0.007678923	0.026401538	FTSZ2-1	MEM	Tubulin/FtsZ family protein OS=Arabidopsis thaliana OX=3702 GN=FTSZ2-1 PE=1 SV=1	True
A0A1P8AXK2	0.58	0.087662273	0.132174984	NAT12	MEM	Nucleobase-ascorbate transporter 12 OS=Arabidopsis thaliana OX=3702 GN=NAT12 PE=1 SV=1	False
A0A1P8AXW4	-0.09	0.132967003	0.236814889	NAPRT2	SOL	Nicotinate phosphoribosyltransferase OS=Arabidopsis thaliana OX=3702 GN=NAPRT2 PE=1 SV=1	False
A0A1P8AXX8	-0.24	0.072901432	0.114438008	At2g34310	MEM	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g34310 PE=1 SV=1	False
A0A1P8AY28	-0.87	0.002385111	0.013870358	At2g46560	MEM	Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At2g46560 PE=1 SV=1	True
A0A1P8AY30	-0.75	0.012213137	0.033546906	PIN4	MEM	Auxin efflux carrier component OS=Arabidopsis thaliana OX=3702 GN=PIN4 PE=1 SV=1	True
A0A1P8AY36	0.35	0.120923817	0.171433262	At2g34480	MEM	Ribosomal protein L18ae/LX family protein OS=Arabidopsis thaliana OX=3702 GN=At2g34480 PE=1 SV=1	False
A0A1P8AYA1	-0.01	0.438918144	0.499677363	PIP2B	MEM	Plasma membrane intrinsic protein 2 OS=Arabidopsis thaliana OX=3702 GN=PIP2B PE=1 SV=1	False
A0A1P8AYE7	-1.02	0.003560928	0.016790124	At2g32040	MEM	Major facilitator superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g32040 PE=1 SV=1	True
A0A1P8AYI3	-0.23	0.011344129	0.065749293	At2g29320	SOL	NAD(P)-binding Rossmann-fold superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g29320 PE=1 SV=1	False
A0A1P8AZ83	0.19	0.08903651	0.183888356	RIP2	SOL	ROP interactive partner 3 OS=Arabidopsis thaliana OX=3702 GN=RIP2 PE=1 SV=1	False
A0A1P8AZ84	-0.93	0.005777097	0.022526555	ABCB6	MEM	p-glycoprotein 6 OS=Arabidopsis thaliana OX=3702 GN=ABCB6 PE=1 SV=1	True
A0A1P8AZH4	-0.09	0.334281802	0.439404106	NLP1	SOL	Nitrilase-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=NLP1 PE=1 SV=1	False
A0A1P8AZL4	-0.2	0.016537707	0.078175383	HEMD	SOL	Uroporphyrinogen-III synthase OS=Arabidopsis thaliana OX=3702 GN=HEMD PE=1 SV=1	False
A0A1P8AZM7	-0.18	0.099159485	0.146004544	At2g04650	MEM	ADP-glucose pyrophosphorylase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g04650 PE=1 SV=1	False
A0A1P8AZP9	0.7	0.122396804	0.224077519	At2g32520	SOL	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g32520 PE=1 SV=1	False
A0A1P8AZS7	1.93	0.002067548	0.013008617	NTRA	MEM	Thioredoxin reductase OS=Arabidopsis thaliana OX=3702 GN=NTRA PE=1 SV=1	True
A0A1P8B0B7	0.64	0.049937132	0.085479051	IQD29	MEM	Protein IQ-DOMAIN 29 OS=Arabidopsis thaliana OX=3702 GN=IQD29 PE=1 SV=1	False
A0A1P8B0L9	-0.02	0.402678299	0.504263977	At2g14110	SOL	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g14110 PE=1 SV=1	False
A0A1P8B0M4	-0.51	0.05415831	0.090830748	SRF1	MEM	STRUBBELIG-receptor family 1 OS=Arabidopsis thaliana OX=3702 GN=SRF1 PE=1 SV=1	False
A0A1P8B0W4	-0.48	0.018123801	0.081364552	PLDBETA1	SOL	Phospholipase D OS=Arabidopsis thaliana OX=3702 GN=PLDBETA1 PE=1 SV=1	False
A0A1P8B103	0.38	0.001901686	0.036402305	EXP3	SOL	Expansin OS=Arabidopsis thaliana OX=3702 GN=EXP3 PE=1 SV=1	True
A0A1P8B189	3.01	1.04908e-05	0.009253624	ECP63	SOL	Embryonic cell protein 63 OS=Arabidopsis thaliana OX=3702 GN=ECP63 PE=1 SV=1	True
A0A1P8B1B5	1.91	0.000943056	0.009448905	GRP3S	MEM	Glycine-rich protein 3 short isoform OS=Arabidopsis thaliana OX=3702 GN=GRP3S PE=1 SV=1	True
A0A1P8B1D0	-0.7	0.002972201	0.015408172	NERD	MEM	GW repeat-and PHD finger-containing protein NERD OS=Arabidopsis thaliana OX=3702 GN=NERD PE=1 SV=1	True
A0A1P8B1I9	-0.51	0.027763991	0.056268037	At2g25730	MEM	Zinc finger FYVE domain protein OS=Arabidopsis thaliana OX=3702 GN=At2g25730 PE=1 SV=1	False
A0A1P8B1L4	0.29	0.212292113	0.271777187	ANNAT4	MEM	Annexin 4 OS=Arabidopsis thaliana OX=3702 GN=ANNAT4 PE=1 SV=1	False
A0A1P8B1V1	0.99	0.002122238	0.013170959	AKR4C8	MEM	NAD(P)-linked oxidoreductase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=AKR4C8 PE=1 SV=1	True
A0A1P8B209	-1.04	0.000529972	0.007506849	At2g22795	MEM	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g22795 PE=1 SV=1	True
A0A1P8B223	-0.46	0.033680583	0.110013367	At2g35820	SOL	Ureidoglycolate hydrolase OS=Arabidopsis thaliana OX=3702 GN=At2g35820 PE=1 SV=1	False
A0A1P8B252	0.41	0.38758581	0.490988859	At2g43560	SOL	Peptidylprolyl isomerase OS=Arabidopsis thaliana OX=3702 GN=At2g43560 PE=1 SV=1	False
A0A1P8B279	-0.01	0.555287478	0.610718452	THIC	MEM	ThiaminC OS=Arabidopsis thaliana OX=3702 GN=THIC PE=1 SV=1	False
A0A1P8B2D9	0.13	0.050348684	0.134245091	PIP	SOL	Proline iminopeptidase OS=Arabidopsis thaliana OX=3702 GN=PIP PE=1 SV=1	False
A0A1P8B2F0	0.5	0.034527982	0.111072484	GSTZ1	SOL	Glutathione S-transferase zeta 1 OS=Arabidopsis thaliana OX=3702 GN=GSTZ1 PE=1 SV=1	False
A0A1P8B2L8	0.04	0.734245813	0.774145734	At2g22660	MEM	DNA-binding protein, putative (Duplicated DUF1399) OS=Arabidopsis thaliana OX=3702 GN=At2g22660 PE=1 SV=1	False
A0A1P8B2U9	0.19	0.462420195	0.522973211	HA5	MEM	Plasma membrane ATPase OS=Arabidopsis thaliana OX=3702 GN=HA5 PE=1 SV=1	False
A0A1P8B346	-0.25	0.041318506	0.120785925	At2g05530	SOL	Glycine-rich protein family OS=Arabidopsis thaliana OX=3702 GN=At2g05530 PE=4 SV=1	False
A0A1P8B3B6	-0.39	0.008811339	0.028392432	At4g23460	MEM	Adaptin family protein OS=Arabidopsis thaliana OX=3702 GN=At4g23460 PE=1 SV=1	True
A0A1P8B3K8	-0.47	0.031556359	0.106782924	At4g28400	SOL	Protein phosphatase 2C family protein OS=Arabidopsis thaliana OX=3702 GN=At4g28400 PE=1 SV=1	False
A0A1P8B3N6	-0.12	0.300515041	0.364283022	At4g39420	MEM	Spatacsin carboxy-terminus protein OS=Arabidopsis thaliana OX=3702 GN=At4g39420 PE=1 SV=1	False
A0A1P8B3S1	-1.14	0.001204276	0.010216866	ATR2	MEM	NADPH--cytochrome P450 reductase OS=Arabidopsis thaliana OX=3702 GN=ATR2 PE=1 SV=1	True
A0A1P8B3U2	-1.08	0.019458244	0.044319966	At4g16260	MEM	Glucan endo-1,3-beta-D-glucosidase OS=Arabidopsis thaliana OX=3702 GN=At4g16260 PE=1 SV=1	True
A0A1P8B407	0.68	0.038800102	0.071487446	At4g14240	MEM	CBS domain protein with a domain protein (DUF21) OS=Arabidopsis thaliana OX=3702 GN=At4g14240 PE=1 SV=1	False
A0A1P8B413	-0.55	0.000301858	0.006026554	At4g13550	MEM	Putative triglyceride lipase OS=Arabidopsis thaliana OX=3702 GN=At4g13550 PE=1 SV=1	True
A0A1P8B454	-0.56	0.051887985	0.087863529	XI-I	MEM	Myosin OS=Arabidopsis thaliana OX=3702 GN=XI-I PE=1 SV=1	False
A0A1P8B475	0.43	0.042877004	0.076494364	At4g27870	MEM	Vacuolar iron transporter (VIT) family protein OS=Arabidopsis thaliana OX=3702 GN=At4g27870 PE=1 SV=1	False
A0A1P8B485	-0.4	0.006056076	0.05005862	AGY1	SOL	Protein translocase subunit SecA OS=Arabidopsis thaliana OX=3702 GN=AGY1 PE=1 SV=1	False
A0A1P8B490	-0.58	0.076320808	0.16854084	At4g26600	SOL	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g26600 PE=1 SV=1	False
A0A1P8B493	-0.23	0.013927004	0.07257473	At4g35360	SOL	Pantothenate kinase OS=Arabidopsis thaliana OX=3702 GN=At4g35360 PE=1 SV=1	False
A0A1P8B4J3	-0.73	0.104587559	0.203612825	At4g04880	SOL	Adenosine/AMP deaminase family protein OS=Arabidopsis thaliana OX=3702 GN=At4g04880 PE=1 SV=1	False
A0A1P8B4P3	-2.73	5.35357e-05	0.003642269	At4g19510	MEM	Disease resistance protein (TIR-NBS-LRR class) OS=Arabidopsis thaliana OX=3702 GN=At4g19510 PE=1 SV=1	True
A0A1P8B4W3	0.23	0.042918859	0.076494364	ARD1	MEM	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Arabidopsis thaliana OX=3702 GN=ARD1 PE=1 SV=1	False
A0A1P8B4X7	-0.09	0.35382571	0.416373601	WIN2	MEM	Protein-serine/threonine phosphatase OS=Arabidopsis thaliana OX=3702 GN=WIN2 PE=1 SV=1	False
A0A1P8B577	-0.09	0.286610421	0.349904183	At4g27120	MEM	DDRGK domain protein OS=Arabidopsis thaliana OX=3702 GN=At4g27120 PE=1 SV=1	False
A0A1P8B5K1	-0.33	0.006621801	0.024399838	At4g31210	MEM	Omega-protein OS=Arabidopsis thaliana OX=3702 GN=At4g31210 PE=1 SV=1	True
A0A1P8B5L7	-0.93	0.000146037	0.004436412	F2N1.39-01	MEM	Glycosyl hydrolase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=F2N1.39-01 PE=1 SV=1	True
A0A1P8B5L9	-0.19	0.136366183	0.189170166	AGT2	MEM	Alanine:glyoxylate aminotransferase 2 OS=Arabidopsis thaliana OX=3702 GN=AGT2 PE=1 SV=1	False
A0A1P8B5U2	-1.25	0.000289555	0.005862382	At4g34960	MEM	Peptidyl-prolyl cis-trans isomerase OS=Arabidopsis thaliana OX=3702 GN=At4g34960 PE=1 SV=1	True
A0A1P8B5Y3	0.38	0.002995786	0.040259894	SEN1	SOL	Rhodanese/Cell cycle control phosphatase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=SEN1 PE=1 SV=1	True
A0A1P8B637	0.14	0.740431083	0.795093397	At4g26555	SOL	Peptidylprolyl isomerase OS=Arabidopsis thaliana OX=3702 GN=At4g26555 PE=1 SV=1	False
A0A1P8B644	-0.47	0.002597243	0.03836922	DEG5	SOL	DEGP protease 5 OS=Arabidopsis thaliana OX=3702 GN=DEG5 PE=1 SV=1	True
A0A1P8B667	0.13	0.280804876	0.343946186	APP1	MEM	Aminopeptidase P1 OS=Arabidopsis thaliana OX=3702 GN=APP1 PE=1 SV=1	False
A0A1P8B687	0.94	0.012118373	0.033441042	At4g13720	MEM	Inosine triphosphate pyrophosphatase OS=Arabidopsis thaliana OX=3702 GN=At4g13720 PE=1 SV=1	True
A0A1P8B6F8	-0.17	0.119352303	0.169727937	At4g02120	MEM	CTP synthase OS=Arabidopsis thaliana OX=3702 GN=At4g02120 PE=1 SV=1	False
A0A1P8B6G3	-0.13	0.083102955	0.176742433	At4g19006	SOL	Proteasome component (PCI) domain protein OS=Arabidopsis thaliana OX=3702 GN=At4g19006 PE=1 SV=1	False
A0A1P8B6J0	-0.01	0.473411144	0.533455773	NDB1	MEM	NADH:ubiquinone reductase (non-electrogenic) OS=Arabidopsis thaliana OX=3702 GN=NDB1 PE=1 SV=1	False
A0A1P8B6W3	-0.89	0.000202045	0.004946938	MGD1	MEM	Monogalactosyldiacylglycerol synthase OS=Arabidopsis thaliana OX=3702 GN=MGD1 PE=1 SV=1	True
A0A1P8B721	-0.38	0.053354928	0.089807526	At4g20720	MEM	Dentin sialophosphoprotein-like protein OS=Arabidopsis thaliana OX=3702 GN=At4g20720 PE=1 SV=1	False
A0A1P8B770	-0.53	0.001356735	0.010621853	G2484-1	MEM	G2484-1 protein OS=Arabidopsis thaliana OX=3702 GN=G2484-1 PE=1 SV=1	True
A0A1P8B7C6	-0.45	0.001722157	0.012006005	MEB1	MEM	Vacuolar iron transporter (VIT) family protein OS=Arabidopsis thaliana OX=3702 GN=MEB1 PE=1 SV=1	True
A0A1P8B7C8	0.83	0.056146758	0.141624765	PARP2	SOL	Poly [ADP-ribose] polymerase OS=Arabidopsis thaliana OX=3702 GN=PARP2 PE=1 SV=1	False
A0A1P8B7F1	-0.17	0.033339262	0.10913835	At4g15930	SOL	Dynein light chain OS=Arabidopsis thaliana OX=3702 GN=At4g15930 PE=1 SV=1	False
A0A1P8B7H4	-0.31	0.001723659	0.034565294	At4g20750	SOL	NAD(P)-binding Rossmann-fold superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g20750 PE=1 SV=1	True
A0A1P8B7M5	0.1	0.989774233	0.992043745	At4g20930	SOL	3-hydroxyisobutyrate dehydrogenase OS=Arabidopsis thaliana OX=3702 GN=At4g20930 PE=1 SV=1	False
A0A1P8B7P6	-1.27	0.003093517	0.015814486	ACDO1	MEM	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=ACDO1 PE=1 SV=1	True
A0A1P8B7W9	0.54	0.013647009	0.035936994	CAP1	MEM	Adenylyl cyclase-associated protein OS=Arabidopsis thaliana OX=3702 GN=CAP1 PE=1 SV=1	True
A0A1P8B7Z8	0.05	0.888520997	0.905574208	CBL1	MEM	Calcineurin B-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=CBL1 PE=1 SV=1	False
A0A1P8B849	0.94	0.000670705	0.024551765	BGAL12	SOL	Beta-galactosidase OS=Arabidopsis thaliana OX=3702 GN=BGAL12 PE=1 SV=1	True
A0A1P8B870	0.11	0.226428173	0.28710561	ATSTE24	MEM	CAAX prenyl protease OS=Arabidopsis thaliana OX=3702 GN=ATSTE24 PE=1 SV=1	False
A0A1P8B894	1.03	0.001085484	0.00976055	scpl20	MEM	Carboxypeptidase OS=Arabidopsis thaliana OX=3702 GN=scpl20 PE=1 SV=1	True
A0A1P8B8H5	0.54	0.026117815	0.054183591	CRK11	MEM	Cysteine-rich RLK (RECEPTOR-like protein kinase) 11 OS=Arabidopsis thaliana OX=3702 GN=CRK11 PE=1 SV=1	False
A0A1P8B8I4	0.15	0.893098441	0.918054297	At4g28940	SOL	Phosphorylase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g28940 PE=1 SV=1	False
A0A1P8B8I9	-0.77	0.002049656	0.036641203	APS3	SOL	Sulfate adenylyltransferase OS=Arabidopsis thaliana OX=3702 GN=APS3 PE=1 SV=1	True
A0A1P8B8L9	-0.46	0.018747826	0.043092642	EMB1290	MEM	Cysteine-rich receptor-like protein kinase 17 OS=Arabidopsis thaliana OX=3702 GN=EMB1290 PE=1 SV=1	True
A0A1P8B8R9	-0.49	0.000287939	0.005861057	At4g16660	MEM	Heat shock protein 70 (Hsp 70) family protein OS=Arabidopsis thaliana OX=3702 GN=At4g16660 PE=1 SV=1	True
A0A1P8B8W5	-0.12	0.114342946	0.215510557	At4g23730	SOL	Glucose-6-phosphate 1-epimerase OS=Arabidopsis thaliana OX=3702 GN=At4g23730 PE=1 SV=1	False
A0A1P8B930	0.4	0.20023224	0.259122435	At4g00170	MEM	Plant VAMP (Vesicle-associated membrane protein) family protein OS=Arabidopsis thaliana OX=3702 GN=At4g00170 PE=1 SV=1	False
A0A1P8B937	0.55	0.046669807	0.08146178	VHA-C3	MEM	V-type proton ATPase proteolipid subunit OS=Arabidopsis thaliana OX=3702 GN=VHA-C3 PE=1 SV=1	False
A0A1P8B9J5	-0.57	0.011800052	0.033089283	MFC19.17	MEM	RNI-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MFC19.17 PE=1 SV=1	True
A0A1P8B9J8	0.17	0.340987093	0.404750678	At5g08650	MEM	Translation factor GUF1 homolog, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At5g08650 PE=1 SV=1	False
A0A1P8B9K9	0.44	0.03067628	0.060003088	AMK2	MEM	ATP:AMP phosphotransferase OS=Arabidopsis thaliana OX=3702 GN=AMK2 PE=1 SV=1	False
A0A1P8B9L6	-2.77	0.00232451	0.013773985	MAM1	MEM	Methylthioalkylmalate synthase 1 OS=Arabidopsis thaliana OX=3702 GN=MAM1 PE=1 SV=1	True
A0A1P8B9P2	-0.48	0.088918331	0.133513984	At5g35100	MEM	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein OS=Arabidopsis thaliana OX=3702 GN=At5g35100 PE=1 SV=1	False
A0A1P8B9R0	-0.38	0.027734086	0.099054763	MRG7.19	SOL	Transcription regulator NOT2/NOT3/NOT5 family protein OS=Arabidopsis thaliana OX=3702 GN=MRG7.19 PE=1 SV=1	False
A0A1P8B9U3	-0.47	0.000212588	0.005023886	At5g04885	MEM	Glycosyl hydrolase family protein OS=Arabidopsis thaliana OX=3702 GN=At5g04885 PE=1 SV=1	True
A0A1P8BAB8	0.47	0.01565371	0.038750646	At5g27410	MEM	D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g27410 PE=1 SV=1	True
A0A1P8BAJ3	-0.61	0.064072932	0.153840745	RS41	SOL	RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=RS41 PE=1 SV=1	False
A0A1P8BAQ0	0.56	0.252132988	0.360723957	MNC6.3	SOL	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MNC6.3 PE=1 SV=1	False
A0A1P8BAU5	0.45	0.002172762	0.013335332	RSW3	MEM	Glycosyl hydrolases family 31 protein OS=Arabidopsis thaliana OX=3702 GN=RSW3 PE=1 SV=1	True
A0A1P8BAW5	0.17	0.021994977	0.047781546	MPF21.1	MEM	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MPF21.1 PE=1 SV=1	True
A0A1P8BAY5	-0.16	0.001643983	0.034165091	DEP1	SOL	Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1 OS=Arabidopsis thaliana OX=3702 GN=DEP1 PE=1 SV=1	True
A0A1P8BBC4	-0.22	0.027642482	0.056173538	At5g15910	MEM	NAD(P)-binding Rossmann-fold superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g15910 PE=1 SV=1	False
A0A1P8BBL0	0.46	0.000447801	0.006980396	AHP3	MEM	Histidine-containing phosphotransmitter 3 OS=Arabidopsis thaliana OX=3702 GN=AHP3 PE=1 SV=1	True
A0A1P8BBV1	0.29	0.302676422	0.36636588	SMG7	MEM	Telomerase activating protein Est1 OS=Arabidopsis thaliana OX=3702 GN=SMG7 PE=1 SV=1	False
A0A1P8BBW1	-0.33	0.032865162	0.108609682	At5g15270	SOL	RNA-binding KH domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At5g15270 PE=1 SV=1	False
A0A1P8BBY4	0.1	0.188107726	0.294217747	MOP10.14	SOL	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MOP10.14 PE=1 SV=1	False
A0A1P8BC80	-0.11	0.183139741	0.288845583	ADCL	SOL	D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein OS=Arabidopsis thaliana OX=3702 GN=ADCL PE=1 SV=1	False
A0A1P8BCG1	0.43	0.175343381	0.279548737	MJB21.15	SOL	Maf-like protein OS=Arabidopsis thaliana OX=3702 GN=MJB21.15 PE=1 SV=1	False
A0A1P8BCJ3	1.2	1.01684e-05	0.002789082	At5g44380	MEM	FAD-binding Berberine family protein OS=Arabidopsis thaliana OX=3702 GN=At5g44380 PE=1 SV=1	True
A0A1P8BCV2	-0.19	0.089582943	0.134186701	ACS	MEM	Acetyl-coenzyme A synthetase OS=Arabidopsis thaliana OX=3702 GN=ACS PE=1 SV=1	False
A0A1P8BCX7	-0.08	0.988615534	0.991283502	CaS	SOL	Calcium sensing receptor OS=Arabidopsis thaliana OX=3702 GN=CaS PE=1 SV=1	False
A0A1P8BD13	-0.45	0.067331251	0.107768614	UBC4	MEM	Ubiquitin conjugating enzyme 4 OS=Arabidopsis thaliana OX=3702 GN=UBC4 PE=1 SV=1	False
A0A1P8BD35	1.74	0.005009823	0.046074248	At5g01300	SOL	PEBP (Phosphatidylethanolamine-binding protein) family protein OS=Arabidopsis thaliana OX=3702 GN=At5g01300 PE=1 SV=1	True
A0A1P8BD58	-0.1	0.149516034	0.254129379	SNRK2.1	SOL	SNF1-related protein kinase 2.1 OS=Arabidopsis thaliana OX=3702 GN=SNRK2.1 PE=1 SV=1	False
A0A1P8BD92	0.0	0.638842408	0.689326711	PDAT	MEM	Phospholipid:diacylglycerol acyltransferase OS=Arabidopsis thaliana OX=3702 GN=PDAT PE=1 SV=1	False
A0A1P8BDK9	-0.37	0.037466395	0.069593286	MXA21.10	MEM	Protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=MXA21.10 PE=1 SV=1	False
A0A1P8BDP7	-0.34	0.036663349	0.068526247	KAC2	MEM	Kinesin like protein for actin based chloroplast movement 2 OS=Arabidopsis thaliana OX=3702 GN=KAC2 PE=1 SV=1	False
A0A1P8BDT6	-0.32	0.146757963	0.201689109	ATE1	MEM	Arginyl-tRNA--protein transferase OS=Arabidopsis thaliana OX=3702 GN=ATE1 PE=1 SV=1	False
A0A1P8BDV1	0.42	0.017001593	0.040678632	MQJ2.5	MEM	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MQJ2.5 PE=1 SV=1	True
A0A1P8BE58	0.23	0.188534067	0.246662971	HEMG2	MEM	Protoporphyrinogen oxidase OS=Arabidopsis thaliana OX=3702 GN=HEMG2 PE=1 SV=1	False
A0A1P8BEB3	0.28	0.009188901	0.02900559	VAMP713	MEM	Vesicle-associated membrane protein 713 OS=Arabidopsis thaliana OX=3702 GN=VAMP713 PE=1 SV=1	True
A0A1P8BEF2	-0.08	0.458630902	0.519699668	At5g67385	MEM	Phototropic-responsive NPH3 family protein OS=Arabidopsis thaliana OX=3702 GN=At5g67385 PE=1 SV=1	False
A0A1P8BEG1	-0.44	0.035674988	0.067178858	SPP	MEM	Insulinase (Peptidase family M16) family protein OS=Arabidopsis thaliana OX=3702 GN=SPP PE=1 SV=1	False
A0A1P8BEG9	-0.3	0.100406109	0.147474944	MCK7.28	MEM	E3 ubiquitin-protein ligase listerin OS=Arabidopsis thaliana OX=3702 GN=MCK7.28 PE=1 SV=1	False
A0A1P8BEU1	-0.05	0.230415638	0.338115838	At5g27390	SOL	Tagatose-6-phosphate ketose/aldose isomerase, putative (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein) OS=Arabidopsis thaliana OX=3702 GN=At5g27390 PE=1 SV=1	False
A0A1P8BF32	0.14	0.294814294	0.403089289	BIP2	SOL	Heat shock protein 70 (Hsp 70) family protein OS=Arabidopsis thaliana OX=3702 GN=BIP2 PE=1 SV=1	False
A0A1P8BF77	-0.88	0.002085171	0.013064687	At5g02940	MEM	Ion channel POLLUX-like protein, putative (DUF1012) OS=Arabidopsis thaliana OX=3702 GN=At5g02940 PE=1 SV=1	True
A0A1P8BF80	-0.62	0.002579795	0.03836922	MPO12.6	SOL	Tudor/PWWP/MBT superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MPO12.6 PE=1 SV=1	True
A0A1P8BFC2	-0.07	0.716778271	0.759467245	MRO11.21	MEM	Remorin family protein OS=Arabidopsis thaliana OX=3702 GN=MRO11.21 PE=1 SV=1	False
A0A1P8BFP6	0.01	0.341025603	0.445841178	PEX19-2	SOL	Peroxin 19-2 OS=Arabidopsis thaliana OX=3702 GN=PEX19-2 PE=1 SV=1	False
A0A1P8BFZ5	-0.46	0.057001909	0.14266813	FIP1[V]	SOL	FIP1[V]-like protein OS=Arabidopsis thaliana OX=3702 GN=FIP1[V] PE=1 SV=1	False
A0A1P8BG37	0.77	0.029804846	0.059042458	HCF136	MEM	Photosystem II stability/assembly factor, chloroplast (HCF136) OS=Arabidopsis thaliana OX=3702 GN=HCF136 PE=1 SV=1	False
A0A1P8BG38	-0.17	0.007522758	0.02609518	MJB21.12	MEM	Glucose-6-phosphate isomerase OS=Arabidopsis thaliana OX=3702 GN=MJB21.12 PE=1 SV=1	True
A0A1P8BGH2	-0.53	0.069200853	0.109947603	At5g50860	MEM	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g50860 PE=1 SV=1	False
A0A1P8BGI7	-0.05	0.324401357	0.429722704	At5g17530	SOL	Phosphoglucosamine mutase family protein OS=Arabidopsis thaliana OX=3702 GN=At5g17530 PE=1 SV=1	False
A0A1P8BGT5	0.4	0.072887738	0.114438008	LOG8	MEM	Cytokinin riboside 5'-monophosphate phosphoribohydrolase OS=Arabidopsis thaliana OX=3702 GN=LOG8 PE=1 SV=1	False
A0A1P8BGW0	0.81	0.005394287	0.021560906	HCF109	MEM	High chlorophyll fluorescent 109 OS=Arabidopsis thaliana OX=3702 GN=HCF109 PE=1 SV=1	True
A0A1P8BGZ1	-0.57	0.013534477	0.071705369	EMB3142	SOL	Nuclear pore complex protein (DUF3414) OS=Arabidopsis thaliana OX=3702 GN=EMB3142 PE=1 SV=1	False
A0A1P8BGZ7	0.27	0.336128921	0.44090278	ENODL1	SOL	Early nodulin-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=ENODL1 PE=1 SV=1	False
A0A1P8BH17	0.19	0.157332495	0.212575004	At5g44090	MEM	Calcium-binding EF-hand family protein OS=Arabidopsis thaliana OX=3702 GN=At5g44090 PE=1 SV=1	False
A0A1P8BH66	0.09	0.964159982	0.970954442	RIP5	SOL	ROP interactive partner 5 OS=Arabidopsis thaliana OX=3702 GN=RIP5 PE=1 SV=1	False
A0A1P8BH73	0.26	0.012175212	0.033504366	PHOS32	MEM	Adenine nucleotide alpha hydrolases-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=PHOS32 PE=1 SV=1	True
A0A1P8BHI7	1.01	0.04783688	0.130978577	E13L3	SOL	Glucan endo-1,3-beta-glucosidase-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=E13L3 PE=1 SV=1	False
A0A1R7T377	-0.37	0.003665174	0.042160844	At5g27560	SOL	DUF1995 domain protein, putative (DUF1995) OS=Arabidopsis thaliana OX=3702 GN=At5g27560 PE=1 SV=1	True
A0A1R7T3C8	-0.4	0.032270359	0.107617159	MKM21.80	SOL	PROTEIN TARGETING TO STARCH (PTST) OS=Arabidopsis thaliana OX=3702 GN=MKM21.80 PE=1 SV=1	False
